"time","well","OD600","G","R","column","dilution","species","condition"
0,"F12",0.2299,4818,16185,12,"10^-7","Bs","Bs 10^-7"
0,"G1",0.2341,4947,16116,1,"10^-1","Pp","Pp 10^-1"
0,"G2",0.2355,4848,16256,2,"10^-2","Pp","Pp 10^-2"
0,"G3",0.2264,4866,16329,3,"10^-3","Pp","Pp 10^-3"
0,"G4",0.2269,4867,16182,4,"10^-4","Pp","Pp 10^-4"
0,"G5",0.2456,4871,16356,5,"10^-5","Pp","Pp 10^-5"
0,"G6",0.2339,4878,16212,6,"10^-6","Pp","Pp 10^-6"
0,"G7",0.2269,4755,16076,7,"10^-2","Bs","Bs 10^-2"
0,"G8",0.2727,4808,16733,8,"10^-3","Bs","Bs 10^-3"
0,"G9",0.236,4832,16517,9,"10^-4","Bs","Bs 10^-4"
0,"G10",0.2307,4810,16244,10,"10^-5","Bs","Bs 10^-5"
0,"G11",0.2249,4838,16290,11,"10^-6","Bs","Bs 10^-6"
0,"G12",0.2266,4785,16135,12,"10^-7","Bs","Bs 10^-7"
0,"H1",0.2317,5005,16321,1,"10^-1","Pp","Pp 10^-1"
0,"H2",0.2263,4859,16161,2,"10^-2","Pp","Pp 10^-2"
0,"H3",0.225,4777,16160,3,"10^-3","Pp","Pp 10^-3"
0,"H4",0.226,4837,16188,4,"10^-4","Pp","Pp 10^-4"
0,"H5",0.2274,4759,16142,5,"10^-5","Pp","Pp 10^-5"
0,"H6",0.2308,4845,16143,6,"10^-6","Pp","Pp 10^-6"
0,"H7",0.2332,4820,16299,7,"10^-2","Bs","Bs 10^-2"
0,"H8",0.2508,4759,16446,8,"10^-3","Bs","Bs 10^-3"
0,"H9",0.23,4805,16195,9,"10^-4","Bs","Bs 10^-4"
0,"H10",0.2253,4780,15916,10,"10^-5","Bs","Bs 10^-5"
0,"H11",0.2256,4781,16079,11,"10^-6","Bs","Bs 10^-6"
0,"H12",0.23,4858,16090,12,"10^-7","Bs","Bs 10^-7"
1,"A1",0.2309,4857,15709,1,"10^-1","Pp","Pp 10^-1"
1,"A2",0.2231,4707,16019,2,"10^-2","Pp","Pp 10^-2"
1,"A3",0.226,4785,16037,3,"10^-3","Pp","Pp 10^-3"
1,"A4",0.2257,4722,15921,4,"10^-4","Pp","Pp 10^-4"
1,"A5",0.2264,4718,15940,5,"10^-5","Pp","Pp 10^-5"
1,"A6",0.2217,4715,15894,6,"10^-6","Pp","Pp 10^-6"
1,"A7",0.2246,4696,15939,7,"10^-2","Bs","Bs 10^-2"
1,"A8",0.2633,4672,16423,8,"10^-3","Bs","Bs 10^-3"
1,"A9",0.225,4685,15830,9,"10^-4","Bs","Bs 10^-4"
1,"A10",0.2284,4762,15750,10,"10^-5","Bs","Bs 10^-5"
1,"A11",0.2251,4714,15951,11,"10^-6","Bs","Bs 10^-6"
1,"A12",0.2317,4755,15898,12,"10^-7","Bs","Bs 10^-7"
1,"B1",0.2368,4948,16154,1,"10^-1","Pp","Pp 10^-1"
1,"B2",0.2256,4768,16092,2,"10^-2","Pp","Pp 10^-2"
1,"B3",0.2278,4767,16033,3,"10^-3","Pp","Pp 10^-3"
1,"B4",0.2271,4807,16097,4,"10^-4","Pp","Pp 10^-4"
1,"B5",0.2278,4757,16000,5,"10^-5","Pp","Pp 10^-5"
1,"B6",0.2243,4735,15903,6,"10^-6","Pp","Pp 10^-6"
1,"B7",0.2315,4762,16232,7,"10^-2","Bs","Bs 10^-2"
1,"B8",0.261,4720,16643,8,"10^-3","Bs","Bs 10^-3"
1,"B9",0.2302,4712,15980,9,"10^-4","Bs","Bs 10^-4"
1,"B10",0.2273,4780,15939,10,"10^-5","Bs","Bs 10^-5"
1,"B11",0.2281,4716,15901,11,"10^-6","Bs","Bs 10^-6"
1,"B12",0.2258,4708,16091,12,"10^-7","Bs","Bs 10^-7"
1,"C1",0.2319,4903,15935,1,"10^-1","Pp","Pp 10^-1"
1,"C2",0.2253,4760,15952,2,"10^-2","Pp","Pp 10^-2"
1,"C3",0.2257,4790,16173,3,"10^-3","Pp","Pp 10^-3"
1,"C4",0.2229,4759,15991,4,"10^-4","Pp","Pp 10^-4"
1,"C5",0.2265,4780,16264,5,"10^-5","Pp","Pp 10^-5"
1,"C6",0.226,4784,15957,6,"10^-6","Pp","Pp 10^-6"
1,"C7",0.231,4778,16104,7,"10^-2","Bs","Bs 10^-2"
