"time","species","dilution","mean_OD","sd_OD","n","se_OD","mean_G","sd_G","se_G","mean_R","sd_R","se_R"
7.00001833333333,"Bs","10^-7",0.2245875,0.00123801396253378,8,0.000437704034055631,5009,32.3154098579256,11.4252227236809,16575.25,84.4710432210775,29.8650237377629
7.00001833333333,"Pp","10^-1",0.7853625,0.03145154720246,8,0.0111198011528341,7549.875,143.714436594638,50.8107263352364,16670.625,258.911423077469,91.5390114923686
7.00001833333333,"Pp","10^-2",0.361575,0.0293506266664663,8,0.0103770135739665,5401.375,41.6788315575185,14.7356922131266,16448.375,70.2199351018946,24.8264961425145
7.00001833333333,"Pp","10^-3",0.2748625,0.0300190386017179,8,0.0106133328799877,5139.25,41.4582406076972,14.6577015348831,16641.875,108.181642884284,38.2479866416895
7.00001833333333,"Pp","10^-4",0.2685625,0.0403944457815675,8,0.0142815932672094,5049.5,58.5247200518111,20.69161320784,16643.5,70.9224929059886,25.0748878362397
7.00001833333333,"Pp","10^-5",0.2561625,0.0241651423985636,8,0.00854366802918144,5009.125,85.7778484558472,30.3270491593608,16567.25,157.365588905035,55.6371375200825
7.00001833333333,"Pp","10^-6",0.2463375,0.02101454853191,8,0.00742976488524368,5032,36.3042697213427,12.8354976529934,16629.5,142.480073794799,50.3743131821311
8.00001972222222,"Bs","10^-2",0.3180375,0.03857074900195,8,0.0136368190873616,4876.5,211.658755007745,74.8326704817393,17615.625,605.623394882142,214.120204683191
8.00001972222222,"Bs","10^-3",0.3413875,0.0126855865904126,8,0.00448503215070496,4760.125,51.016628941664,18.0371021389642,19899.875,433.269773269001,153.183997380834
8.00001972222222,"Bs","10^-4",0.2506875,0.0451361571090343,8,0.0159580413842498,4916.875,259.923305996211,91.8967661291734,16430.625,803.838636525658,284.199875433521
8.00001972222222,"Bs","10^-5",0.28155,0.104702108042634,8,0.0370177853007366,4723.625,562.570614615242,198.898748245361,15709.375,1734.15800379979,613.117442067878
8.00001972222222,"Bs","10^-6",0.2668375,0.115842823780451,8,0.0409566231234775,4825.375,567.864907853469,200.770563570531,15981.375,1730.70546619414,611.896785691252
8.00001972222222,"Bs","10^-7",0.224525,0.000903564370384629,8,0.000319458246768762,5036,30.3926682888207,10.7454309226892,16637.5,80.4540685289261,28.4448087154254
8.00001972222222,"Pp","10^-1",1.1574125,0.101747410461959,8,0.035973141952911,10929.75,1748.9453760971,618.345567681558,15292,803.826207229256,284.195481013635
8.00001972222222,"Pp","10^-2",0.4789125,0.0252092634617855,8,0.00891282057127339,5845.875,56.5898463886033,20.0075320638432,16474.125,84.922548747163,30.0246550473821
8.00001972222222,"Pp","10^-3",0.3112,0.0349412568258703,8,0.0123535998223768,5283,64.333950157418,22.7454862084138,16603,79.3905356000143,28.0687930424011
8.00001972222222,"Pp","10^-4",0.27505,0.0438672347625684,8,0.0155094095862572,5074.375,22.3283132239892,7.89425084657002,16657.75,99.3518279363078,35.1261756285212
8.00001972222222,"Pp","10^-5",0.26005,0.0257598802126762,8,0.00910749299046826,5049.25,91.7913005526278,32.4531255373478,16618.5,238.008403212996,84.1486779456457
8.00001972222222,"Pp","10^-6",0.248575,0.0228703020156209,8,0.00808587282151496,5072,54.2560069090445,19.1823952027448,16672.25,87.8988867148742,31.0769494274178
9.00002194444444,"Bs","10^-2",0.3293125,0.0380595562431904,8,0.0134560851542554,4877.875,210.06491343664,74.2691623902064,18008.625,594.845463124667,210.309630366752
9.00002194444444,"Bs","10^-3",0.359575,0.0219568895793553,8,0.00776293275766318,4767.5,59.6250187181762,21.0806275319986,20509.875,437.899674583117,154.820914688552
9.00002194444444,"Bs","10^-4",0.2550125,0.0454474402076572,8,0.0160680965792023,4947.375,236.400348984514,83.5801449209081,16573.875,709.933887767023,250.999533117096
9.00002194444444,"Bs","10^-5",0.2813375,0.103986028422778,8,0.0367646129232018,4768.625,573.53488809064,202.77520430798,15828.125,1750.6298815406,618.941130292581
9.00002194444444,"Bs","10^-6",0.2671375,0.115581584513154,8,0.0408642610947687,4893.375,578.91078451569,204.675870716534,16142.75,1770.00643663075,625.79177704272
9.00002194444444,"Bs","10^-7",0.2241625,0.00112114418596106,8,0.000396384328290468,5075.875,46.8506365256348,16.5642013950912,16668.125,116.081790746254,41.0411107044771
9.00002194444444,"Pp","10^-1",1.2849,0.0840971716867712,8,0.0297328401891626,14264.5,1441.96116452559,509.810258821848,14616.625,246.440336158094,87.1298164276402
9.00002194444444,"Pp","10^-2",0.6132375,0.0303958144440034,8,0.0107465432565214,6477.75,52.4097864361773,18.5296576947799,16591.125,141.847440683896,50.1506436007697
9.00002194444444,"Pp","10^-3",0.3366875,0.0364626007026378,8,0.0128914761082663,5378,31.8164378000699,11.2488094608147,16678.5,159.967853913573,56.5571771370733
9.00002194444444,"Pp","10^-4",0.2831375,0.0466392519389899,8,0.0164894656577638,5168.125,38.9484549482665,13.770358305329,16724.75,133.183814975501,47.0875893567357
9.00002194444444,"Pp","10^-5",0.2617875,0.0267594809633627,8,0.00946090522511305,5076.25,79.1341537246358,27.9781483610743,16736.5,141.422366386246,50.0003571415816
9.00002194444444,"Pp","10^-6",0.252625,0.0263882414289828,8,0.00932965222901077,5093.25,34.0451381047489,12.0367740101502,16688.625,102.988123448428,36.4118002360302
10.0000236111111,"Bs","10^-2",0.332125,0.043664361080536,8,0.0154376829081125,4880.5,232.792366099676,82.3045303387712,18204.125,652.011489272127,230.52087273793
10.0000236111111,"Bs","10^-3",0.3721375,0.0233211086173633,8,0.00824525702406281,4762,59.9952379062586,21.2115197812078,20989.75,591.161991335708,209.007326426611
10.0000236111111,"Bs","10^-4",0.264975,0.0499643801694196,8,0.0176650760177896,4963.625,232.399248523496,82.1655422868109,16709.25,734.589049352474,259.716449091257
10.0000236111111,"Bs","10^-5",0.2817125,0.103738812649847,8,0.0366772089484737,4799.875,588.95753848886,208.227934648205,15826.375,1746.68681774545,617.547046718478
10.0000236111111,"Bs","10^-6",0.2667125,0.115448930422565,8,0.0408173607912649,4904.125,590.696547064807,208.842767026502,16088.625,1785.33573773354,631.211503423038
10.0000236111111,"Bs","10^-7",0.2238625,0.00105144458450539,8,0.000371741797872815,5118.625,48.3674551148364,17.1004777502184,16801.875,96.626582411733,34.1626558331086
10.0000236111111,"Pp","10^-1",1.3886875,0.0513324302255128,8,0.0181487547536227,15255.875,1106.66596295876,391.265503458238,14677,260.054939250481,91.9433055125354
10.0000236111111,"Pp","10^-2",0.7925875,0.0271674404651703,8,0.00960514069020186,7475.5,100.993634877225,35.7066420391821,16812.375,107.867560991642,38.136941923622
10.0000236111111,"Pp","10^-3",0.4015625,0.0382383478984121,8,0.0135192975501688,5605.25,33.8008875623111,11.9504184027171,16607.5,94.2761899951414,33.3316666249979
10.0000236111111,"Pp","10^-4",0.3176125,0.0504837579962959,8,0.0178487038094807,5330.875,58.6817993199644,20.7471491156875,16823.375,98.4493161842319,34.8070895385244
10.0000236111111,"Pp","10^-5",0.2658125,0.028614204140102,8,0.0101166488928611,5128.75,73.0650395195951,25.8323924559844,16740.625,213.868409141162,75.6139011926473
10.0000236111111,"Pp","10^-6",0.255175,0.0284886819631937,8,0.0100722701016206,5131.375,39.0418731254388,13.8033866186113,16806.5,139.592263395935,49.353318024222
11.0000255555556,"Bs","10^-2",0.338,0.0372822439545384,8,0.0131812637590526,4877.625,231.390787259501,81.8089973876433,18624.375,669.191823342583,236.595038100065
11.0000255555556,"Bs","10^-3",0.3945,0.0248679943472959,8,0.00879216371874084,4748.625,76.9172793144873,27.1943648968469,21591.25,621.15853738915,219.612706989893
11.0000255555556,"Bs","10^-4",0.282525,0.0543995470044164,8,0.0192331442901496,4971.5,253.586277231241,89.6562881230313,17026,669.164724542043,236.585457227253
11.0000255555556,"Bs","10^-5",0.28325,0.105480573702324,8,0.0372930144741804,4803,586.942440594841,207.515489955397,15839.625,1750.34559342679,618.840619266036
11.0000255555556,"Bs","10^-6",0.2667375,0.115561658712073,8,0.0408572162602363,4902.75,590.744264224618,208.859637590143,16163.125,1749.01339025341,618.369614317128
11.0000255555556,"Bs","10^-7",0.223925,0.000945289071433404,8,0.000334210156296047,5123.25,63.6861725292749,22.5164622316334,16798.125,102.699892196355,36.3098950995849
11.0000255555556,"Pp","10^-1",1.4593875,0.0506159330504875,8,0.017895434748042,16201.875,693.715552555327,245.265485713222,14677.875,253.871979830105,89.7572992455608
11.0000255555556,"Pp","10^-2",1.1073375,0.0437740933658254,8,0.0154764791296341,9375.875,627.873380661147,221.98676259601,16215.625,345.184396891202,122.041113900779
11.0000255555556,"Pp","10^-3",0.51895,0.0416694818096615,8,0.0147323865780706,6086.75,36.3150893470705,12.8393229683545,16659.375,109.298983788244,38.643026306733
11.0000255555556,"Pp","10^-4",0.3314125,0.0522066617943944,8,0.0184578422889645,5375,47.1683913532902,16.6765446917862,16767.25,141.759101496669,50.1194109816033
11.0000255555556,"Pp","10^-5",0.2705875,0.0306794690538896,8,0.0108468303056041,5149.125,79.7432263133186,28.1934880399205,16701,260.952102884801,92.2605007573664
11.0000255555556,"Pp","10^-6",0.25805,0.0308158586259923,8,0.0108950513012626,5142.125,35.6508364958965,12.6044741206106,16774.625,124.100117992346,43.8760174892194
12.0000269444444,"Bs","10^-2",0.3553125,0.0348667437743844,8,0.0123272554803805,4874.25,213.073930831531,75.3330106925244,19120.375,677.042715997827,239.370747817511
12.0000269444444,"Bs","10^-3",0.4191125,0.0260894306733041,8,0.00922400667319483,4751,62.0736889281027,21.9463631871629,22352.875,766.291335403374,270.92489981411
12.0000269444444,"Bs","10^-4",0.3004375,0.0497409557464614,8,0.0175860835555114,4981.375,231.48646211573,81.8428235574576,17411.875,759.077153522618,268.374301349813
12.0000269444444,"Bs","10^-5",0.2843375,0.104809499807985,8,0.0370557540234982,4838.5,598.298301136529,211.530392953015,15907.625,1782.22372633581,630.111241241803
12.0000269444444,"Bs","10^-6",0.2669,0.115499251698256,8,0.0408351520489044,4952.625,587.680656114721,207.776488555439,16124.75,1740.06015905855,615.204169071421
12.0000269444444,"Bs","10^-7",0.223525,0.0010525479290071,8,0.00037213188906239,5172,50.0171399193745,17.683729406273,16833.625,106.674320781928,37.7150678016852
12.0000269444444,"Pp","10^-1",1.526225,0.0562297010992793,8,0.0198802014756965,17554,660.711521229738,233.596798534814,14718.375,180.717567728526,63.8933088101899
12.0000269444444,"Pp","10^-2",1.224975,0.0329169843263756,8,0.0116379114166957,15302,1241.25167242011,438.848737363701,14681,139.220277669188,49.2218012092783
12.0000269444444,"Pp","10^-3",0.675975,0.0426294582921917,8,0.0150717895183589,6907.625,56.8454986281738,20.0979187799562,16763.375,172.975586634151,61.1561051443645
12.0000269444444,"Pp","10^-4",0.3775125,0.056851697738188,8,0.0201001104963203,5562,22.9533688781656,8.11524139241359,16725.25,97.676945664193,34.5340153223704
12.0000269444444,"Pp","10^-5",0.2815875,0.034501363844678,8,0.0121980741673781,5258,64.3206254411667,22.7407752098045,16760.25,219.172958446716,77.489342585195
12.0000269444444,"Pp","10^-6",0.2609,0.032786408333768,8,0.0115917458317792,5184.625,51.7906155316082,18.3107477221127,16786.875,137.92486308546,48.7638029909774
13.0000297222222,"Bs","10^-2",0.3797125,0.0384526958928574,8,0.0135950810103718,4819.5,234.803869522751,83.0157041941893,19742.625,707.892432809231,250.277769795025
13.0000297222222,"Bs","10^-3",0.440925,0.0247153364764241,8,0.00873819101089334,4711.875,39.4151439351497,13.9353577789941,23169.5,795.119398042116,281.117159104273
13.0000297222222,"Bs","10^-4",0.3171375,0.0418917290677493,8,0.0148109628497176,4943.375,239.318638459869,84.6119160596527,17609.5,787.057086330374,278.266701462567
13.0000297222222,"Bs","10^-5",0.2871875,0.104916707609962,8,0.0370936577053852,4811.875,583.939193874548,206.45368189465,15873.75,1740.09201316646,615.215431199279
13.0000297222222,"Bs","10^-6",0.266825,0.116086664055044,8,0.041042833679323,4939.75,593.873182710633,209.965877329763,16126.125,1792.79107519134,633.847363259258
13.0000297222222,"Bs","10^-7",0.2233625,0.000843356389671645,8,0.000298171511046912,5168,28.4052309065979,10.0427656976125,16762.625,79.8533253623703,28.2324139320139
13.0000297222222,"Pp","10^-1",1.5735875,0.0480351192209557,8,0.016982979268121,18854.625,615.140387577154,217.484969718763,14670.875,233.763273114369,82.6477978057665
13.0000297222222,"Pp","10^-2",1.420725,0.0474976014432007,8,0.0167929380352916,14536.125,397.879176743034,140.67153198396,14823,142.912560679599,50.5272203866391
13.0000297222222,"Pp","10^-3",0.8342875,0.0478392975790526,8,0.0169137458626746,7839,89.9777750336159,31.8119474411737,16853.25,68.8139313137765,24.3293987360383
