"well","datetime","condition","wavelength","value","time"
"F...11",2026-04-24 16:07:00,"Pp+NI","OD600",0.2679,0
"G...11",2026-04-24 16:07:00,"Pp","OD600",0.2765,0
"H...11",2026-04-24 16:07:00,"M9","OD600",0.2603,0
"A...12",2026-04-24 16:07:00,"Bs","OD600",0.2802,0
"B...12",2026-04-24 16:07:00,"Bs+NI","OD600",0.26,0
"C...12",2026-04-24 16:07:00,"NI","OD600",0.2748,0
"D...12",2026-04-24 16:07:00,"Bs+Pp+NI","OD600",0.2629,0
"E...12",2026-04-24 16:07:00,"Bs+Pp","OD600",0.2899,0
"F...12",2026-04-24 16:07:00,"Pp+NI","OD600",0.2598,0
"G...12",2026-04-24 16:07:00,"Pp","OD600",0.2216,0
"H...12",2026-04-24 16:07:00,"M9","OD600",0.2586,0
"A...13",2026-04-24 16:07:00,"Bs","OD600",0.2816,0
"B...13",2026-04-24 16:07:00,"Bs+NI","OD600",0.2605,0
"C...13",2026-04-24 16:07:00,"NI","OD600",0.2747,0
"D...13",2026-04-24 16:07:00,"Bs+Pp+NI","OD600",0.2586,0
"E...13",2026-04-24 16:07:00,"Bs+Pp","OD600",0.2807,0
"F...13",2026-04-24 16:07:00,"Pp+NI","OD600",0.2594,0
"G...13",2026-04-24 16:07:00,"Pp","OD600",0.2568,0
"H...13",2026-04-24 16:07:00,"M9","OD600",0.2624,0
"A...2",2026-04-24 16:07:00,"Bs","GFP70",1780,0
"B...2",2026-04-24 16:07:00,"Bs+NI","GFP70",1835,0
"C...2",2026-04-24 16:07:00,"NI","GFP70",1794,0
"D...2",2026-04-24 16:07:00,"Bs+Pp+NI","GFP70",1808,0
"E...2",2026-04-24 16:07:00,"Bs+Pp","GFP70",1814,0
"F...2",2026-04-24 16:07:00,"Pp+NI","GFP70",1789,0
"G...2",2026-04-24 16:07:00,"Pp","GFP70",1817,0
"H...2",2026-04-24 16:07:00,"M9","GFP70",1781,0
"A...3",2026-04-24 16:07:00,"Bs","GFP70",1790,0
"B...3",2026-04-24 16:07:00,"Bs+NI","GFP70",1820,0
"C...3",2026-04-24 16:07:00,"NI","GFP70",1813,0
"D...3",2026-04-24 16:07:00,"Bs+Pp+NI","GFP70",1834,0
"E...3",2026-04-24 16:07:00,"Bs+Pp","GFP70",1850,0
"F...3",2026-04-24 16:07:00,"Pp+NI","GFP70",1825,0
"G...3",2026-04-24 16:07:00,"Pp","GFP70",1970,0
"H...3",2026-04-24 16:07:00,"M9","GFP70",1798,0
"A...4",2026-04-24 16:07:00,"Bs","GFP70",1797,0
"B...4",2026-04-24 16:07:00,"Bs+NI","GFP70",1821,0
"C...4",2026-04-24 16:07:00,"NI","GFP70",1821,0
"D...4",2026-04-24 16:07:00,"Bs+Pp+NI","GFP70",1838,0
"E...4",2026-04-24 16:07:00,"Bs+Pp","GFP70",1863,0
"F...4",2026-04-24 16:07:00,"Pp+NI","GFP70",1832,0
"G...4",2026-04-24 16:07:00,"Pp","GFP70",1848,0
"H...4",2026-04-24 16:07:00,"M9","GFP70",1795,0
"A...5",2026-04-24 16:07:00,"Bs","GFP70",1791,0
"B...5",2026-04-24 16:07:00,"Bs+NI","GFP70",1823,0
"C...5",2026-04-24 16:07:00,"NI","GFP70",1848,0
"D...5",2026-04-24 16:07:00,"Bs+Pp+NI","GFP70",1846,0
"E...5",2026-04-24 16:07:00,"Bs+Pp","GFP70",1848,0
"F...5",2026-04-24 16:07:00,"Pp+NI","GFP70",1818,0
"G...5",2026-04-24 16:07:00,"Pp","GFP70",1850,0
"H...5",2026-04-24 16:07:00,"M9","GFP70",1803,0
"A...6",2026-04-24 16:07:00,"Bs","GFP70",1787,0
"B...6",2026-04-24 16:07:00,"Bs+NI","GFP70",1832,0
"C...6",2026-04-24 16:07:00,"NI","GFP70",1828,0
"D...6",2026-04-24 16:07:00,"Bs+Pp+NI","GFP70",1850,0
"E...6",2026-04-24 16:07:00,"Bs+Pp","GFP70",1862,0
"F...6",2026-04-24 16:07:00,"Pp+NI","GFP70",1837,0
"G...6",2026-04-24 16:07:00,"Pp","GFP70",1837,0
"H...6",2026-04-24 16:07:00,"M9","GFP70",1804,0
"A...7",2026-04-24 16:07:00,"Bs","GFP70",1810,0
"B...7",2026-04-24 16:07:00,"Bs+NI","GFP70",1828,0
"C...7",2026-04-24 16:07:00,"NI","GFP70",1805,0
"D...7",2026-04-24 16:07:00,"Bs+Pp+NI","GFP70",1846,0
"E...7",2026-04-24 16:07:00,"Bs+Pp","GFP70",1864,0
"F...7",2026-04-24 16:07:00,"Pp+NI","GFP70",1869,0
"G...7",2026-04-24 16:07:00,"Pp","GFP70",1826,0
"H...7",2026-04-24 16:07:00,"M9","GFP70",1791,0
"A...8",2026-04-24 16:07:00,"Bs","GFP70",1811,0
"B...8",2026-04-24 16:07:00,"Bs+NI","GFP70",1810,0
"C...8",2026-04-24 16:07:00,"NI","GFP70",1829,0
"D...8",2026-04-24 16:07:00,"Bs+Pp+NI","GFP70",1883,0
"E...8",2026-04-24 16:07:00,"Bs+Pp","GFP70",1868,0
"F...8",2026-04-24 16:07:00,"Pp+NI","GFP70",1844,0
"G...8",2026-04-24 16:07:00,"Pp","GFP70",1830,0
"H...8",2026-04-24 16:07:00,"M9","GFP70",1811,0
"A...9",2026-04-24 16:07:00,"Bs","GFP70",1803,0
"B...9",2026-04-24 16:07:00,"Bs+NI","GFP70",1822,0
"C...9",2026-04-24 16:07:00,"NI","GFP70",1826,0
"D...9",2026-04-24 16:07:00,"Bs+Pp+NI","GFP70",1873,0
"E...9",2026-04-24 16:07:00,"Bs+Pp","GFP70",1868,0
"F...9",2026-04-24 16:07:00,"Pp+NI","GFP70",1858,0
"G...9",2026-04-24 16:07:00,"Pp","GFP70",1858,0
"H...9",2026-04-24 16:07:00,"M9","GFP70",1788,0
"A...10",2026-04-24 16:07:00,"Bs","GFP70",1845,0
"B...10",2026-04-24 16:07:00,"Bs+NI","GFP70",1824,0
"C...10",2026-04-24 16:07:00,"NI","GFP70",1807,0
"D...10",2026-04-24 16:07:00,"Bs+Pp+NI","GFP70",1854,0
"E...10",2026-04-24 16:07:00,"Bs+Pp","GFP70",1862,0
"F...10",2026-04-24 16:07:00,"Pp+NI","GFP70",1857,0
"G...10",2026-04-24 16:07:00,"Pp","GFP70",1846,0
"H...10",2026-04-24 16:07:00,"M9","GFP70",1820,0
"A...11",2026-04-24 16:07:00,"Bs","GFP70",1850,0
"B...11",2026-04-24 16:07:00,"Bs+NI","GFP70",1931,0
"C...11",2026-04-24 16:07:00,"NI","GFP70",1927,0
"D...11",2026-04-24 16:07:00,"Bs+Pp+NI","GFP70",1837,0
"E...11",2026-04-24 16:07:00,"Bs+Pp","GFP70",1862,0
"F...11",2026-04-24 16:07:00,"Pp+NI","GFP70",1829,0
"G...11",2026-04-24 16:07:00,"Pp","GFP70",1845,0
"H...11",2026-04-24 16:07:00,"M9","GFP70",1814,0
"A...12",2026-04-24 16:07:00,"Bs","GFP70",1862,0
"B...12",2026-04-24 16:07:00,"Bs+NI","GFP70",1867,0
"C...12",2026-04-24 16:07:00,"NI","GFP70",1857,0
"D...12",2026-04-24 16:07:00,"Bs+Pp+NI","GFP70",1859,0
"E...12",2026-04-24 16:07:00,"Bs+Pp","GFP70",1849,0
"F...12",2026-04-24 16:07:00,"Pp+NI","GFP70",1846,0
"G...12",2026-04-24 16:07:00,"Pp","GFP70",1727,0
"H...12",2026-04-24 16:07:00,"M9","GFP70",1818,0
"A...13",2026-04-24 16:07:00,"Bs","GFP70",1850,0
"B...13",2026-04-24 16:07:00,"Bs+NI","GFP70",1817,0
"C...13",2026-04-24 16:07:00,"NI","GFP70",1833,0
"D...13",2026-04-24 16:07:00,"Bs+Pp+NI","GFP70",1814,0
"E...13",2026-04-24 16:07:00,"Bs+Pp","GFP70",1812,0
"F...13",2026-04-24 16:07:00,"Pp+NI","GFP70",1815,0
"G...13",2026-04-24 16:07:00,"Pp","GFP70",1843,0
"H...13",2026-04-24 16:07:00,"M9","GFP70",1816,0
"A...2",2026-04-24 16:07:00,"Bs","RFP85",2858,0
"B...2",2026-04-24 16:07:00,"Bs+NI","RFP85",2958,0
"C...2",2026-04-24 16:07:00,"NI","RFP85",2891,0
"D...2",2026-04-24 16:07:00,"Bs+Pp+NI","RFP85",2838,0
"E...2",2026-04-24 16:07:00,"Bs+Pp","RFP85",2876,0
"F...2",2026-04-24 16:07:00,"Pp+NI","RFP85",2871,0
"G...2",2026-04-24 16:07:00,"Pp","RFP85",2892,0
"H...2",2026-04-24 16:07:00,"M9","RFP85",2870,0
"A...3",2026-04-24 16:07:00,"Bs","RFP85",2937,0
"B...3",2026-04-24 16:07:00,"Bs+NI","RFP85",2915,0
"C...3",2026-04-24 16:07:00,"NI","RFP85",2940,0
"D...3",2026-04-24 16:07:00,"Bs+Pp+NI","RFP85",2938,0
"E...3",2026-04-24 16:07:00,"Bs+Pp","RFP85",2900,0
"F...3",2026-04-24 16:07:00,"Pp+NI","RFP85",2930,0
