"well","datetime","condition","wavelength","value","time"
"D...11",2026-04-26 16:49:00,"Bs+Pp+NI","OD600",0.4521,48.7
"E...11",2026-04-26 16:49:00,"Bs+Pp","OD600",0.4166,48.7
"F...11",2026-04-26 16:49:00,"Pp+NI","OD600",0.4843,48.7
"G...11",2026-04-26 16:49:00,"Pp","OD600",0.437,48.7
"H...11",2026-04-26 16:49:00,"M9","OD600",0.2361,48.7
"A...12",2026-04-26 16:49:00,"Bs","OD600",0.3061,48.7
"B...12",2026-04-26 16:49:00,"Bs+NI","OD600",0.5148,48.7
"C...12",2026-04-26 16:49:00,"NI","OD600",0.4993,48.7
"D...12",2026-04-26 16:49:00,"Bs+Pp+NI","OD600",0.4711,48.7
"E...12",2026-04-26 16:49:00,"Bs+Pp","OD600",0.4531,48.7
"F...12",2026-04-26 16:49:00,"Pp+NI","OD600",0.4621,48.7
"G...12",2026-04-26 16:49:00,"Pp","OD600",0.2424,48.7
"H...12",2026-04-26 16:49:00,"M9","OD600",0.2402,48.7
"A...13",2026-04-26 16:49:00,"Bs","OD600",0.315,48.7
"B...13",2026-04-26 16:49:00,"Bs+NI","OD600",0.5365,48.7
"C...13",2026-04-26 16:49:00,"NI","OD600",0.5216,48.7
"D...13",2026-04-26 16:49:00,"Bs+Pp+NI","OD600",0.4705,48.7
"E...13",2026-04-26 16:49:00,"Bs+Pp","OD600",0.4508,48.7
"F...13",2026-04-26 16:49:00,"Pp+NI","OD600",0.477,48.7
"G...13",2026-04-26 16:49:00,"Pp","OD600",0.4638,48.7
"H...13",2026-04-26 16:49:00,"M9","OD600",0.2396,48.7
"A...2",2026-04-26 16:49:00,"Bs","GFP70",1852,48.7
"B...2",2026-04-26 16:49:00,"Bs+NI","GFP70",1933,48.7
"C...2",2026-04-26 16:49:00,"NI","GFP70",1948,48.7
"D...2",2026-04-26 16:49:00,"Bs+Pp+NI","GFP70",2479,48.7
"E...2",2026-04-26 16:49:00,"Bs+Pp","GFP70",2394,48.7
"F...2",2026-04-26 16:49:00,"Pp+NI","GFP70",2481,48.7
"G...2",2026-04-26 16:49:00,"Pp","GFP70",2416,48.7
"H...2",2026-04-26 16:49:00,"M9","GFP70",1873,48.7
"A...3",2026-04-26 16:49:00,"Bs","GFP70",1833,48.7
"B...3",2026-04-26 16:49:00,"Bs+NI","GFP70",1940,48.7
"C...3",2026-04-26 16:49:00,"NI","GFP70",1939,48.7
"D...3",2026-04-26 16:49:00,"Bs+Pp+NI","GFP70",2501,48.7
"E...3",2026-04-26 16:49:00,"Bs+Pp","GFP70",2455,48.7
"F...3",2026-04-26 16:49:00,"Pp+NI","GFP70",2571,48.7
"G...3",2026-04-26 16:49:00,"Pp","GFP70",2438,48.7
"H...3",2026-04-26 16:49:00,"M9","GFP70",1887,48.7
"A...4",2026-04-26 16:49:00,"Bs","GFP70",1849,48.7
"B...4",2026-04-26 16:49:00,"Bs+NI","GFP70",1916,48.7
"C...4",2026-04-26 16:49:00,"NI","GFP70",1966,48.7
"D...4",2026-04-26 16:49:00,"Bs+Pp+NI","GFP70",2531,48.7
"E...4",2026-04-26 16:49:00,"Bs+Pp","GFP70",2454,48.7
"F...4",2026-04-26 16:49:00,"Pp+NI","GFP70",2566,48.7
"G...4",2026-04-26 16:49:00,"Pp","GFP70",2475,48.7
"H...4",2026-04-26 16:49:00,"M9","GFP70",1892,48.7
"A...5",2026-04-26 16:49:00,"Bs","GFP70",1843,48.7
"B...5",2026-04-26 16:49:00,"Bs+NI","GFP70",1921,48.7
"C...5",2026-04-26 16:49:00,"NI","GFP70",1931,48.7
"D...5",2026-04-26 16:49:00,"Bs+Pp+NI","GFP70",2484,48.7
"E...5",2026-04-26 16:49:00,"Bs+Pp","GFP70",2441,48.7
"F...5",2026-04-26 16:49:00,"Pp+NI","GFP70",2557,48.7
"G...5",2026-04-26 16:49:00,"Pp","GFP70",2427,48.7
"H...5",2026-04-26 16:49:00,"M9","GFP70",1881,48.7
"A...6",2026-04-26 16:49:00,"Bs","GFP70",1839,48.7
"B...6",2026-04-26 16:49:00,"Bs+NI","GFP70",1907,48.7
"C...6",2026-04-26 16:49:00,"NI","GFP70",1947,48.7
"D...6",2026-04-26 16:49:00,"Bs+Pp+NI","GFP70",2494,48.7
"E...6",2026-04-26 16:49:00,"Bs+Pp","GFP70",2506,48.7
"F...6",2026-04-26 16:49:00,"Pp+NI","GFP70",2533,48.7
"G...6",2026-04-26 16:49:00,"Pp","GFP70",2443,48.7
"H...6",2026-04-26 16:49:00,"M9","GFP70",1865,48.7
"A...7",2026-04-26 16:49:00,"Bs","GFP70",1818,48.7
"B...7",2026-04-26 16:49:00,"Bs+NI","GFP70",1884,48.7
"C...7",2026-04-26 16:49:00,"NI","GFP70",1926,48.7
"D...7",2026-04-26 16:49:00,"Bs+Pp+NI","GFP70",2492,48.7
"E...7",2026-04-26 16:49:00,"Bs+Pp","GFP70",2440,48.7
"F...7",2026-04-26 16:49:00,"Pp+NI","GFP70",2524,48.7
"G...7",2026-04-26 16:49:00,"Pp","GFP70",2481,48.7
"H...7",2026-04-26 16:49:00,"M9","GFP70",1868,48.7
"A...8",2026-04-26 16:49:00,"Bs","GFP70",1827,48.7
"B...8",2026-04-26 16:49:00,"Bs+NI","GFP70",1898,48.7
"C...8",2026-04-26 16:49:00,"NI","GFP70",1927,48.7
"D...8",2026-04-26 16:49:00,"Bs+Pp+NI","GFP70",2477,48.7
"E...8",2026-04-26 16:49:00,"Bs+Pp","GFP70",2509,48.7
"F...8",2026-04-26 16:49:00,"Pp+NI","GFP70",2483,48.7
"G...8",2026-04-26 16:49:00,"Pp","GFP70",2471,48.7
"H...8",2026-04-26 16:49:00,"M9","GFP70",1865,48.7
"A...9",2026-04-26 16:49:00,"Bs","GFP70",1820,48.7
"B...9",2026-04-26 16:49:00,"Bs+NI","GFP70",1901,48.7
"C...9",2026-04-26 16:49:00,"NI","GFP70",1913,48.7
"D...9",2026-04-26 16:49:00,"Bs+Pp+NI","GFP70",2490,48.7
"E...9",2026-04-26 16:49:00,"Bs+Pp","GFP70",2455,48.7
"F...9",2026-04-26 16:49:00,"Pp+NI","GFP70",2498,48.7
"G...9",2026-04-26 16:49:00,"Pp","GFP70",2466,48.7
"H...9",2026-04-26 16:49:00,"M9","GFP70",1861,48.7
"A...10",2026-04-26 16:49:00,"Bs","GFP70",1832,48.7
"B...10",2026-04-26 16:49:00,"Bs+NI","GFP70",1905,48.7
"C...10",2026-04-26 16:49:00,"NI","GFP70",1918,48.7
"D...10",2026-04-26 16:49:00,"Bs+Pp+NI","GFP70",2439,48.7
"E...10",2026-04-26 16:49:00,"Bs+Pp","GFP70",2502,48.7
"F...10",2026-04-26 16:49:00,"Pp+NI","GFP70",2517,48.7
"G...10",2026-04-26 16:49:00,"Pp","GFP70",2469,48.7
"H...10",2026-04-26 16:49:00,"M9","GFP70",1846,48.7
"A...11",2026-04-26 16:49:00,"Bs","GFP70",1827,48.7
"B...11",2026-04-26 16:49:00,"Bs+NI","GFP70",1899,48.7
"C...11",2026-04-26 16:49:00,"NI","GFP70",1931,48.7
"D...11",2026-04-26 16:49:00,"Bs+Pp+NI","GFP70",2442,48.7
"E...11",2026-04-26 16:49:00,"Bs+Pp","GFP70",2435,48.7
"F...11",2026-04-26 16:49:00,"Pp+NI","GFP70",2538,48.7
"G...11",2026-04-26 16:49:00,"Pp","GFP70",2485,48.7
"H...11",2026-04-26 16:49:00,"M9","GFP70",1865,48.7
"A...12",2026-04-26 16:49:00,"Bs","GFP70",1824,48.7
"B...12",2026-04-26 16:49:00,"Bs+NI","GFP70",1888,48.7
"C...12",2026-04-26 16:49:00,"NI","GFP70",1918,48.7
"D...12",2026-04-26 16:49:00,"Bs+Pp+NI","GFP70",2449,48.7
"E...12",2026-04-26 16:49:00,"Bs+Pp","GFP70",2480,48.7
"F...12",2026-04-26 16:49:00,"Pp+NI","GFP70",2483,48.7
"G...12",2026-04-26 16:49:00,"Pp","GFP70",1859,48.7
"H...12",2026-04-26 16:49:00,"M9","GFP70",1868,48.7
"A...13",2026-04-26 16:49:00,"Bs","GFP70",1848,48.7
"B...13",2026-04-26 16:49:00,"Bs+NI","GFP70",1926,48.7
"C...13",2026-04-26 16:49:00,"NI","GFP70",1928,48.7
"D...13",2026-04-26 16:49:00,"Bs+Pp+NI","GFP70",2485,48.7
"E...13",2026-04-26 16:49:00,"Bs+Pp","GFP70",2517,48.7
"F...13",2026-04-26 16:49:00,"Pp+NI","GFP70",2519,48.7
"G...13",2026-04-26 16:49:00,"Pp","GFP70",2471,48.7
"H...13",2026-04-26 16:49:00,"M9","GFP70",1861,48.7
"A...2",2026-04-26 16:49:00,"Bs","RFP85",3426,48.7
"B...2",2026-04-26 16:49:00,"Bs+NI","RFP85",2793,48.7
"C...2",2026-04-26 16:49:00,"NI","RFP85",2781,48.7
"D...2",2026-04-26 16:49:00,"Bs+Pp+NI","RFP85",2805,48.7
"E...2",2026-04-26 16:49:00,"Bs+Pp","RFP85",2806,48.7
"F...2",2026-04-26 16:49:00,"Pp+NI","RFP85",2780,48.7
"G...2",2026-04-26 16:49:00,"Pp","RFP85",2795,48.7
"H...2",2026-04-26 16:49:00,"M9","RFP85",2801,48.7
"A...3",2026-04-26 16:49:00,"Bs","RFP85",3293,48.7
"B...3",2026-04-26 16:49:00,"Bs+NI","RFP85",2823,48.7
"C...3",2026-04-26 16:49:00,"NI","RFP85",2809,48.7
"D...3",2026-04-26 16:49:00,"Bs+Pp+NI","RFP85",2824,48.7
"E...3",2026-04-26 16:49:00,"Bs+Pp","RFP85",2789,48.7
"F...3",2026-04-26 16:49:00,"Pp+NI","RFP85",2771,48.7
"G...3",2026-04-26 16:49:00,"Pp","RFP85",2786,48.7
"H...3",2026-04-26 16:49:00,"M9","RFP85",2796,48.7
"A...4",2026-04-26 16:49:00,"Bs","RFP85",3275,48.7
"B...4",2026-04-26 16:49:00,"Bs+NI","RFP85",2813,48.7
"C...4",2026-04-26 16:49:00,"NI","RFP85",2824,48.7
"D...4",2026-04-26 16:49:00,"Bs+Pp+NI","RFP85",2841,48.7
"E...4",2026-04-26 16:49:00,"Bs+Pp","RFP85",2795,48.7
"F...4",2026-04-26 16:49:00,"Pp+NI","RFP85",2795,48.7
"G...4",2026-04-26 16:49:00,"Pp","RFP85",2781,48.7
"H...4",2026-04-26 16:49:00,"M9","RFP85",2782,48.7
"A...5",2026-04-26 16:49:00,"Bs","RFP85",3338,48.7
"B...5",2026-04-26 16:49:00,"Bs+NI","RFP85",2775,48.7
"C...5",2026-04-26 16:49:00,"NI","RFP85",2789,48.7
"D...5",2026-04-26 16:49:00,"Bs+Pp+NI","RFP85",2818,48.7
"E...5",2026-04-26 16:49:00,"Bs+Pp","RFP85",2758,48.7
"F...5",2026-04-26 16:49:00,"Pp+NI","RFP85",2798,48.7
"G...5",2026-04-26 16:49:00,"Pp","RFP85",2777,48.7
"H...5",2026-04-26 16:49:00,"M9","RFP85",2764,48.7
"A...6",2026-04-26 16:49:00,"Bs","RFP85",3288,48.7
"B...6",2026-04-26 16:49:00,"Bs+NI","RFP85",2778,48.7
"C...6",2026-04-26 16:49:00,"NI","RFP85",2795,48.7
"D...6",2026-04-26 16:49:00,"Bs+Pp+NI","RFP85",2786,48.7
"E...6",2026-04-26 16:49:00,"Bs+Pp","RFP85",2774,48.7
"F...6",2026-04-26 16:49:00,"Pp+NI","RFP85",2783,48.7
"G...6",2026-04-26 16:49:00,"Pp","RFP85",2747,48.7
"H...6",2026-04-26 16:49:00,"M9","RFP85",2764,48.7
"A...7",2026-04-26 16:49:00,"Bs","RFP85",3196,48.7
"B...7",2026-04-26 16:49:00,"Bs+NI","RFP85",2776,48.7
"C...7",2026-04-26 16:49:00,"NI","RFP85",2779,48.7
"D...7",2026-04-26 16:49:00,"Bs+Pp+NI","RFP85",2772,48.7
"E...7",2026-04-26 16:49:00,"Bs+Pp","RFP85",2783,48.7
"F...7",2026-04-26 16:49:00,"Pp+NI","RFP85",2783,48.7
"G...7",2026-04-26 16:49:00,"Pp","RFP85",2764,48.7
"H...7",2026-04-26 16:49:00,"M9","RFP85",2772,48.7
"A...8",2026-04-26 16:49:00,"Bs","RFP85",3199,48.7
"B...8",2026-04-26 16:49:00,"Bs+NI","RFP85",2782,48.7
"C...8",2026-04-26 16:49:00,"NI","RFP85",2755,48.7
"D...8",2026-04-26 16:49:00,"Bs+Pp+NI","RFP85",2781,48.7
"E...8",2026-04-26 16:49:00,"Bs+Pp","RFP85",2768,48.7
"F...8",2026-04-26 16:49:00,"Pp+NI","RFP85",2793,48.7
"G...8",2026-04-26 16:49:00,"Pp","RFP85",2729,48.7
"H...8",2026-04-26 16:49:00,"M9","RFP85",2787,48.7
"A...9",2026-04-26 16:49:00,"Bs","RFP85",3133,48.7
"B...9",2026-04-26 16:49:00,"Bs+NI","RFP85",2779,48.7
"C...9",2026-04-26 16:49:00,"NI","RFP85",2753,48.7
"D...9",2026-04-26 16:49:00,"Bs+Pp+NI","RFP85",2809,48.7
"E...9",2026-04-26 16:49:00,"Bs+Pp","RFP85",2747,48.7
"F...9",2026-04-26 16:49:00,"Pp+NI","RFP85",2754,48.7
"G...9",2026-04-26 16:49:00,"Pp","RFP85",2739,48.7
"H...9",2026-04-26 16:49:00,"M9","RFP85",2768,48.7
"A...10",2026-04-26 16:49:00,"Bs","RFP85",3221,48.7
"B...10",2026-04-26 16:49:00,"Bs+NI","RFP85",2757,48.7
"C...10",2026-04-26 16:49:00,"NI","RFP85",2705,48.7
"D...10",2026-04-26 16:49:00,"Bs+Pp+NI","RFP85",2818,48.7
"E...10",2026-04-26 16:49:00,"Bs+Pp","RFP85",2744,48.7
"F...10",2026-04-26 16:49:00,"Pp+NI","RFP85",2793,48.7
"G...10",2026-04-26 16:49:00,"Pp","RFP85",2743,48.7
"H...10",2026-04-26 16:49:00,"M9","RFP85",2737,48.7
"A...11",2026-04-26 16:49:00,"Bs","RFP85",3169,48.7
"B...11",2026-04-26 16:49:00,"Bs+NI","RFP85",2754,48.7
"C...11",2026-04-26 16:49:00,"NI","RFP85",2781,48.7
"D...11",2026-04-26 16:49:00,"Bs+Pp+NI","RFP85",2768,48.7
"E...11",2026-04-26 16:49:00,"Bs+Pp","RFP85",2778,48.7
"F...11",2026-04-26 16:49:00,"Pp+NI","RFP85",2787,48.7
"G...11",2026-04-26 16:49:00,"Pp","RFP85",2762,48.7
"H...11",2026-04-26 16:49:00,"M9","RFP85",2768,48.7
"A...12",2026-04-26 16:49:00,"Bs","RFP85",3166,48.7
"B...12",2026-04-26 16:49:00,"Bs+NI","RFP85",2781,48.7
"C...12",2026-04-26 16:49:00,"NI","RFP85",2768,48.7
"D...12",2026-04-26 16:49:00,"Bs+Pp+NI","RFP85",2776,48.7
"E...12",2026-04-26 16:49:00,"Bs+Pp","RFP85",2798,48.7
"F...12",2026-04-26 16:49:00,"Pp+NI","RFP85",2766,48.7
"G...12",2026-04-26 16:49:00,"Pp","RFP85",2748,48.7
"H...12",2026-04-26 16:49:00,"M9","RFP85",2777,48.7
"A...13",2026-04-26 16:49:00,"Bs","RFP85",3300,48.7
"B...13",2026-04-26 16:49:00,"Bs+NI","RFP85",2824,48.7
"C...13",2026-04-26 16:49:00,"NI","RFP85",2775,48.7
"D...13",2026-04-26 16:49:00,"Bs+Pp+NI","RFP85",2816,48.7
"E...13",2026-04-26 16:49:00,"Bs+Pp","RFP85",2774,48.7
"F...13",2026-04-26 16:49:00,"Pp+NI","RFP85",2801,48.7
"G...13",2026-04-26 16:49:00,"Pp","RFP85",2806,48.7
"H...13",2026-04-26 16:49:00,"M9","RFP85",2760,48.7
"A...2",2026-04-26 16:49:00,"Bs","RFP90",5133,48.7
"B...2",2026-04-26 16:49:00,"Bs+NI","RFP90",4228,48.7
"C...2",2026-04-26 16:49:00,"NI","RFP90",4201,48.7
"D...2",2026-04-26 16:49:00,"Bs+Pp+NI","RFP90",4229,48.7
"E...2",2026-04-26 16:49:00,"Bs+Pp","RFP90",4211,48.7
"F...2",2026-04-26 16:49:00,"Pp+NI","RFP90",4185,48.7
"G...2",2026-04-26 16:49:00,"Pp","RFP90",4187,48.7
"H...2",2026-04-26 16:49:00,"M9","RFP90",4161,48.7
"A...3",2026-04-26 16:49:00,"Bs","RFP90",4925,48.7
"B...3",2026-04-26 16:49:00,"Bs+NI","RFP90",4220,48.7
"C...3",2026-04-26 16:49:00,"NI","RFP90",4234,48.7
"D...3",2026-04-26 16:49:00,"Bs+Pp+NI","RFP90",4192,48.7
"E...3",2026-04-26 16:49:00,"Bs+Pp","RFP90",4178,48.7
"F...3",2026-04-26 16:49:00,"Pp+NI","RFP90",4167,48.7
"G...3",2026-04-26 16:49:00,"Pp","RFP90",4145,48.7
"H...3",2026-04-26 16:49:00,"M9","RFP90",4177,48.7
"A...4",2026-04-26 16:49:00,"Bs","RFP90",4899,48.7
"B...4",2026-04-26 16:49:00,"Bs+NI","RFP90",4227,48.7
"C...4",2026-04-26 16:49:00,"NI","RFP90",4219,48.7
"D...4",2026-04-26 16:49:00,"Bs+Pp+NI","RFP90",4228,48.7
"E...4",2026-04-26 16:49:00,"Bs+Pp","RFP90",4215,48.7
"F...4",2026-04-26 16:49:00,"Pp+NI","RFP90",4194,48.7
"G...4",2026-04-26 16:49:00,"Pp","RFP90",4188,48.7
"H...4",2026-04-26 16:49:00,"M9","RFP90",4166,48.7
"A...5",2026-04-26 16:49:00,"Bs","RFP90",4954,48.7
"B...5",2026-04-26 16:49:00,"Bs+NI","RFP90",4167,48.7
"C...5",2026-04-26 16:49:00,"NI","RFP90",4225,48.7
"D...5",2026-04-26 16:49:00,"Bs+Pp+NI","RFP90",4196,48.7
"E...5",2026-04-26 16:49:00,"Bs+Pp","RFP90",4202,48.7
"F...5",2026-04-26 16:49:00,"Pp+NI","RFP90",4173,48.7
"G...5",2026-04-26 16:49:00,"Pp","RFP90",4181,48.7
"H...5",2026-04-26 16:49:00,"M9","RFP90",4157,48.7
"A...6",2026-04-26 16:49:00,"Bs","RFP90",4906,48.7
"B...6",2026-04-26 16:49:00,"Bs+NI","RFP90",4143,48.7
"C...6",2026-04-26 16:49:00,"NI","RFP90",4198,48.7
"D...6",2026-04-26 16:49:00,"Bs+Pp+NI","RFP90",4210,48.7
"E...6",2026-04-26 16:49:00,"Bs+Pp","RFP90",4164,48.7
"F...6",2026-04-26 16:49:00,"Pp+NI","RFP90",4178,48.7
"G...6",2026-04-26 16:49:00,"Pp","RFP90",4164,48.7
"H...6",2026-04-26 16:49:00,"M9","RFP90",4150,48.7
"A...7",2026-04-26 16:49:00,"Bs","RFP90",4733,48.7
"B...7",2026-04-26 16:49:00,"Bs+NI","RFP90",4129,48.7
"C...7",2026-04-26 16:49:00,"NI","RFP90",4138,48.7
"D...7",2026-04-26 16:49:00,"Bs+Pp+NI","RFP90",4187,48.7
"E...7",2026-04-26 16:49:00,"Bs+Pp","RFP90",4192,48.7
"F...7",2026-04-26 16:49:00,"Pp+NI","RFP90",4150,48.7
"G...7",2026-04-26 16:49:00,"Pp","RFP90",4155,48.7
"H...7",2026-04-26 16:49:00,"M9","RFP90",4174,48.7
"A...8",2026-04-26 16:49:00,"Bs","RFP90",4782,48.7
"B...8",2026-04-26 16:49:00,"Bs+NI","RFP90",4148,48.7
"C...8",2026-04-26 16:49:00,"NI","RFP90",4130,48.7
"D...8",2026-04-26 16:49:00,"Bs+Pp+NI","RFP90",4189,48.7
"E...8",2026-04-26 16:49:00,"Bs+Pp","RFP90",4147,48.7
"F...8",2026-04-26 16:49:00,"Pp+NI","RFP90",4216,48.7
"G...8",2026-04-26 16:49:00,"Pp","RFP90",4116,48.7
"H...8",2026-04-26 16:49:00,"M9","RFP90",4184,48.7
"A...9",2026-04-26 16:49:00,"Bs","RFP90",4695,48.7
"B...9",2026-04-26 16:49:00,"Bs+NI","RFP90",4169,48.7
"C...9",2026-04-26 16:49:00,"NI","RFP90",4132,48.7
"D...9",2026-04-26 16:49:00,"Bs+Pp+NI","RFP90",4173,48.7
"E...9",2026-04-26 16:49:00,"Bs+Pp","RFP90",4102,48.7
"F...9",2026-04-26 16:49:00,"Pp+NI","RFP90",4177,48.7
"G...9",2026-04-26 16:49:00,"Pp","RFP90",4112,48.7
"H...9",2026-04-26 16:49:00,"M9","RFP90",4200,48.7
"A...10",2026-04-26 16:49:00,"Bs","RFP90",4803,48.7
"B...10",2026-04-26 16:49:00,"Bs+NI","RFP90",4160,48.7
"C...10",2026-04-26 16:49:00,"NI","RFP90",4059,48.7
"D...10",2026-04-26 16:49:00,"Bs+Pp+NI","RFP90",4217,48.7
"E...10",2026-04-26 16:49:00,"Bs+Pp","RFP90",4131,48.7
"F...10",2026-04-26 16:49:00,"Pp+NI","RFP90",4175,48.7
"G...10",2026-04-26 16:49:00,"Pp","RFP90",4132,48.7
"H...10",2026-04-26 16:49:00,"M9","RFP90",4121,48.7
"A...11",2026-04-26 16:49:00,"Bs","RFP90",4775,48.7
"B...11",2026-04-26 16:49:00,"Bs+NI","RFP90",4117,48.7
"C...11",2026-04-26 16:49:00,"NI","RFP90",4131,48.7
"D...11",2026-04-26 16:49:00,"Bs+Pp+NI","RFP90",4166,48.7
"E...11",2026-04-26 16:49:00,"Bs+Pp","RFP90",4158,48.7
"F...11",2026-04-26 16:49:00,"Pp+NI","RFP90",4183,48.7
"G...11",2026-04-26 16:49:00,"Pp","RFP90",4144,48.7
"H...11",2026-04-26 16:49:00,"M9","RFP90",4157,48.7
"A...12",2026-04-26 16:49:00,"Bs","RFP90",4741,48.7
"B...12",2026-04-26 16:49:00,"Bs+NI","RFP90",4208,48.7
"C...12",2026-04-26 16:49:00,"NI","RFP90",4169,48.7
"D...12",2026-04-26 16:49:00,"Bs+Pp+NI","RFP90",4161,48.7
"E...12",2026-04-26 16:49:00,"Bs+Pp","RFP90",4151,48.7
"F...12",2026-04-26 16:49:00,"Pp+NI","RFP90",4197,48.7
"G...12",2026-04-26 16:49:00,"Pp","RFP90",4134,48.7
"H...12",2026-04-26 16:49:00,"M9","RFP90",4181,48.7
"A...13",2026-04-26 16:49:00,"Bs","RFP90",4871,48.7
"B...13",2026-04-26 16:49:00,"Bs+NI","RFP90",4193,48.7
"C...13",2026-04-26 16:49:00,"NI","RFP90",4136,48.7
"D...13",2026-04-26 16:49:00,"Bs+Pp+NI","RFP90",4250,48.7
"E...13",2026-04-26 16:49:00,"Bs+Pp","RFP90",4181,48.7
"F...13",2026-04-26 16:49:00,"Pp+NI","RFP90",4213,48.7
"G...13",2026-04-26 16:49:00,"Pp","RFP90",4138,48.7
"H...13",2026-04-26 16:49:00,"M9","RFP90",4187,48.7
"A...2",2026-04-28 15:32:00,"Bs","OD600",0.4239,95.4166666666667
"B...2",2026-04-28 15:32:00,"Bs+NI","OD600",1.3375,95.4166666666667
"C...2",2026-04-28 15:32:00,"NI","OD600",1.4657,95.4166666666667
"D...2",2026-04-28 15:32:00,"Bs+Pp+NI","OD600",1.5214,95.4166666666667
"E...2",2026-04-28 15:32:00,"Bs+Pp","OD600",1.4161,95.4166666666667
"F...2",2026-04-28 15:32:00,"Pp+NI","OD600",1.5432,95.4166666666667
"G...2",2026-04-28 15:32:00,"Pp","OD600",1.4495,95.4166666666667
"H...2",2026-04-28 15:32:00,"M9","OD600",0.2541,95.4166666666667
"A...3",2026-04-28 15:32:00,"Bs","OD600",0.4804,95.4166666666667
"B...3",2026-04-28 15:32:00,"Bs+NI","OD600",1.3774,95.4166666666667
"C...3",2026-04-28 15:32:00,"NI","OD600",1.4335,95.4166666666667
"D...3",2026-04-28 15:32:00,"Bs+Pp+NI","OD600",1.4688,95.4166666666667
"E...3",2026-04-28 15:32:00,"Bs+Pp","OD600",1.4399,95.4166666666667
"F...3",2026-04-28 15:32:00,"Pp+NI","OD600",1.4551,95.4166666666667
"G...3",2026-04-28 15:32:00,"Pp","OD600",1.4579,95.4166666666667
"H...3",2026-04-28 15:32:00,"M9","OD600",0.2519,95.4166666666667
"A...4",2026-04-28 15:32:00,"Bs","OD600",0.5472,95.4166666666667
"B...4",2026-04-28 15:32:00,"Bs+NI","OD600",1.453,95.4166666666667
"C...4",2026-04-28 15:32:00,"NI","OD600",1.3611,95.4166666666667
"D...4",2026-04-28 15:32:00,"Bs+Pp+NI","OD600",1.4613,95.4166666666667
"E...4",2026-04-28 15:32:00,"Bs+Pp","OD600",1.4414,95.4166666666667
"F...4",2026-04-28 15:32:00,"Pp+NI","OD600",1.4793,95.4166666666667
"G...4",2026-04-28 15:32:00,"Pp","OD600",1.457,95.4166666666667
"H...4",2026-04-28 15:32:00,"M9","OD600",0.2471,95.4166666666667
"A...5",2026-04-28 15:32:00,"Bs","OD600",0.5783,95.4166666666667
"B...5",2026-04-28 15:32:00,"Bs+NI","OD600",1.3823,95.4166666666667
"C...5",2026-04-28 15:32:00,"NI","OD600",1.3887,95.4166666666667
"D...5",2026-04-28 15:32:00,"Bs+Pp+NI","OD600",1.4824,95.4166666666667
"E...5",2026-04-28 15:32:00,"Bs+Pp","OD600",1.4523,95.4166666666667
"F...5",2026-04-28 15:32:00,"Pp+NI","OD600",1.4918,95.4166666666667
"G...5",2026-04-28 15:32:00,"Pp","OD600",1.4345,95.4166666666667
"H...5",2026-04-28 15:32:00,"M9","OD600",0.2493,95.4166666666667
"A...6",2026-04-28 15:32:00,"Bs","OD600",0.4448,95.4166666666667
"B...6",2026-04-28 15:32:00,"Bs+NI","OD600",1.4937,95.4166666666667
"C...6",2026-04-28 15:32:00,"NI","OD600",1.4453,95.4166666666667
"D...6",2026-04-28 15:32:00,"Bs+Pp+NI","OD600",1.4595,95.4166666666667
"E...6",2026-04-28 15:32:00,"Bs+Pp","OD600",1.4263,95.4166666666667
"F...6",2026-04-28 15:32:00,"Pp+NI","OD600",1.468,95.4166666666667
"G...6",2026-04-28 15:32:00,"Pp","OD600",1.4392,95.4166666666667
"H...6",2026-04-28 15:32:00,"M9","OD600",0.2522,95.4166666666667
"A...7",2026-04-28 15:32:00,"Bs","OD600",0.4636,95.4166666666667
"B...7",2026-04-28 15:32:00,"Bs+NI","OD600",1.4057,95.4166666666667
"C...7",2026-04-28 15:32:00,"NI","OD600",1.4212,95.4166666666667
"D...7",2026-04-28 15:32:00,"Bs+Pp+NI","OD600",1.4441,95.4166666666667
"E...7",2026-04-28 15:32:00,"Bs+Pp","OD600",1.431,95.4166666666667
"F...7",2026-04-28 15:32:00,"Pp+NI","OD600",1.4481,95.4166666666667
"G...7",2026-04-28 15:32:00,"Pp","OD600",1.4568,95.4166666666667
"H...7",2026-04-28 15:32:00,"M9","OD600",0.2469,95.4166666666667
"A...8",2026-04-28 15:32:00,"Bs","OD600",0.4685,95.4166666666667
"B...8",2026-04-28 15:32:00,"Bs+NI","OD600",1.3575,95.4166666666667
"C...8",2026-04-28 15:32:00,"NI","OD600",1.3822,95.4166666666667
"D...8",2026-04-28 15:32:00,"Bs+Pp+NI","OD600",1.4562,95.4166666666667
"E...8",2026-04-28 15:32:00,"Bs+Pp","OD600",1.4438,95.4166666666667
"F...8",2026-04-28 15:32:00,"Pp+NI","OD600",1.4797,95.4166666666667
"G...8",2026-04-28 15:32:00,"Pp","OD600",1.4487,95.4166666666667
"H...8",2026-04-28 15:32:00,"M9","OD600",0.2448,95.4166666666667
"A...9",2026-04-28 15:32:00,"Bs","OD600",0.4521,95.4166666666667
"B...9",2026-04-28 15:32:00,"Bs+NI","OD600",1.5349,95.4166666666667
"C...9",2026-04-28 15:32:00,"NI","OD600",1.4424,95.4166666666667
"D...9",2026-04-28 15:32:00,"Bs+Pp+NI","OD600",1.4796,95.4166666666667
"E...9",2026-04-28 15:32:00,"Bs+Pp","OD600",1.4287,95.4166666666667
